ID,Label
1222328696.0,-1
1222294295.0,-1
1222294297.0,-1
1222283377.0,-1
1222283410.0,-1
1222283886.0,-1
1222294298.0,-1
1222334003.0,-1
1222334004.0,-1
1222286996.0,-1
1222334005.0,-1
1222334006.0,-1
1222334007.0,-1
1222334008.0,-1
1222283446.0,-1
1222334009.0,-1
1222334010.0,-1
1222285830.0,-1
1222286969.0,-1
1222294300.0,-1
1222334011.0,-1
1222334012.0,-1
1222283473.0,-1
1222334013.0,-1
1222334014.0,-1
1222334015.0,-1
1222283502.0,-1
1222334016.0,-1
1222334017.0,-1
1222294301.0,-1
1222334018.0,-1
1222283492.0,-1
1222334019.0,-1
1222286993.0,-1
1222294302.0,-1
1222291088.0,-1
1222283506.0,-1
1222283507.0,-1
1222283535.0,-1
1222334020.0,-1
1222334021.0,-1
1222283918.0,-1
1222283546.0,-1
1222283420.0,-1
1222334022.0,-1
1222334023.0,-1
1222294313.0,-1
1222300320.0,-1
1222283564.0,-1
1222283584.0,-1
1222294333.0,-1
1222334024.0,-1
1222282430.0,-1
1222293097.0,-1
1222283435.0,-1
1222283641.0,-1
1222283649.0,-1
1222283650.0,-1
1222334025.0,-1
1222283664.0,-1
1222294323.0,-1
1222282434.0,-1
1222283670.0,-1
1222334026.0,-1
1222283680.0,-1
1222334027.0,-1
1222283724.0,-1
1222294325.0,-1
1222294326.0,-1
1222283730.0,-1
1222283753.0,-1
1222283765.0,-1
1222283766.0,-1
1222283769.0,-1
1222294327.0,-1
1222286991.0,-1
1222283774.0,-1
1222283804.0,-1
1222283398.0,-1
1222294343.0,-1
1222334028.0,-1
1222283869.0,-1
1222285234.0,-1
1222294346.0,-1
1222285233.0,-1
1222294348.0,-1
1222300322.0,-1
1222334029.0,-1
1222283870.0,-1
1222334030.0,-1
1222294368.0,-1
1222283888.0,-1
1222283901.0,-1
1222300324.0,-1
1222285241.0,0
1222283925.0,0
1222334031.0,0
1222283944.0,0
1222290990.0,0
1222298416.0,-1
1222283947.0,-1
1222334032.0,0
1222334033.0,0
1222334034.0,0
1222283954.0,-1
1222283957.0,-1
1222296659.0,-1
1222334035.0,-1
1222282974.0,-1
1222296680.0,-1
1222282995.0,-1
1222285599.0,-1
1222283015.0,-1
1222334038.0,-1
1222296661.0,-1
1222283048.0,-1
1222296662.0,-1
1222292139.0,-1
1222334039.0,-1
1222283105.0,-1
1222283150.0,-1
1222283157.0,-1
1222296666.0,-1
1222283184.0,-1
1222287520.0,-1
1222292271.0,-1
1222298515.0,-1
1222296675.0,-1
1222334041.0,-1
1222296682.0,-1
1222292222.0,-1
1222298517.0,-1
1222334042.0,-1
1222283101.0,-1
1222296678.0,-1
1222286222.0,-1
1222292260.0,-1
1222283294.0,-1
1222283278.0,-1
1222334043.0,-1
1222334044.0,-1
1222334045.0,-1
1222296703.0,-1
1222334047.0,-1
1222292307.0,-1
1222334048.0,-1
1222334049.0,-1
1222334050.0,-1
1222283983.0,-1
1222294359.0,-1
1222285249.0,-1
1222283995.0,-1
1222285833.0,-1
1222294361.0,-1
1222282439.0,-1
1222294374.0,-1
1222292591.0,-1
1222283378.0,-1
1222296749.0,-1
1222296786.0,-1
1222293049.0,-1
