cluster,count,avg_temp_q1,avg_temp_q2,avg_temp_q3,avg_temp_q4,avg_rain_q1,avg_rain_q2,avg_rain_q3,avg_rain_q4
0,292,26.73,30.56,25.45,16.8,108.76,179.03,98.26,116.13
1,1404,30.78,32.18,28.44,22.96,74.99,227.54,111.59,53.24
2,913,33.07,34.79,30.89,26.28,63.87,197.15,151.98,61.57
3,1698,28.88,31.47,26.89,20.7,85.28,191.56,100.0,57.93
