cluster,count,avg_temp_q1,avg_temp_q2,avg_temp_q3,avg_temp_q4,avg_rain_q1,avg_rain_q2,avg_rain_q3,avg_rain_q4
0,1425,30.77,32.15,28.43,22.98,74.88,227.46,111.35,53.3
1,915,33.07,34.77,30.88,26.27,63.87,197.16,151.92,61.54
2,288,26.75,30.59,25.47,16.79,108.9,179.19,98.38,116.63
3,1679,28.86,31.48,26.88,20.64,85.56,191.11,100.01,58.01
